faults,protocol,rtt_ms,avg_latency_ms,points
0,noveldag,0,420.01821060000003,5
0,noveldag,100,2420.975,4
0,noveldag,200,2763.1,4
0,narwhal,0,1013.5132662,5
0,narwhal,100,7202.625,4
0,narwhal,200,7014.475,4
0,wahoo,0,644.376858,5
0,wahoo,100,1931.55,4
0,wahoo,200,3658.95,4
1,noveldag,0,501.01925125,4
1,noveldag,100,2636.475,4
1,noveldag,200,3033.1,4
1,narwhal,0,742.38174825,4
1,narwhal,100,4079.425,4
1,narwhal,200,6785.700000000001,4
1,wahoo,0,440.575,4
1,wahoo,100,2013.875,4
1,wahoo,200,3600.425,4
3,noveldag,0,796.0169814999999,4
3,noveldag,100,3255.025,4
3,noveldag,200,3751.25,4
3,narwhal,0,742.10289475,4
3,narwhal,100,3387.075,4
3,narwhal,200,6523.675,4
3,wahoo,0,258.625,4
3,wahoo,100,2025.0,4
3,wahoo,200,3666.425,4
