protocol,faults,delay_ms,rtt_ms,rate,tps,latency_ms
narwhal,0,0,0,60000,54428.2,563.0
narwhal,0,0,0,130000,115415.1,577.9
narwhal,0,0,0,200000,175252.7,573.8
wahoo,0,0,0,60000,43019.6,243.7
wahoo,0,0,0,130000,91738.7,435.3
wahoo,0,0,0,200000,134150.0,768.0
wahoo,0,0,0,270000,138165.9,832.8
narwhal,1,0,0,60000,54052.6,631.3
narwhal,1,0,0,130000,115471.0,639.4
narwhal,1,0,0,200000,156684.4,719.9
wahoo,1,0,0,60000,46581.5,244.4
wahoo,1,0,0,130000,101397.1,381.2
wahoo,1,0,0,200000,150448.7,592.9
wahoo,1,0,0,270000,186435.9,543.8
narwhal,3,0,0,60000,58636.2,652.2
narwhal,3,0,0,130000,126997.7,691.1
narwhal,3,0,0,200000,194788.7,769.3
wahoo,3,0,0,60000,59812.2,162.7
wahoo,3,0,0,130000,129431.2,202.9
wahoo,3,0,0,200000,198676.4,274.4
wahoo,3,0,0,270000,246676.1,394.5
narwhal,0,50,100,60000,52403.9,3973.7
narwhal,0,50,100,130000,114766.9,3394.8
narwhal,0,50,100,200000,33604.3,7692.0
narwhal,0,50,100,270000,23381.8,13750.0
noveldag,0,50,100,60000,54774.0,2544.6
noveldag,0,50,100,130000,119490.5,2551.1
noveldag,0,50,100,200000,97311.7,2412.3
noveldag,0,50,100,270000,41743.4,2175.9
wahoo,0,50,100,60000,56081.2,1859.3
wahoo,0,50,100,130000,122229.8,1904.1
wahoo,0,50,100,200000,184743.5,1970.0
wahoo,0,50,100,270000,207860.3,1992.8
narwhal,1,50,100,60000,52411.0,4116.7
narwhal,1,50,100,130000,113537.7,3533.3
narwhal,1,50,100,200000,169887.2,3673.0
narwhal,1,50,100,270000,104688.7,4994.7
noveldag,1,50,100,60000,55262.0,2684.9
noveldag,1,50,100,130000,116201.3,2659.9
noveldag,1,50,100,200000,175460.3,2613.7
noveldag,1,50,100,270000,165578.3,2587.4
wahoo,1,50,100,60000,56502.0,1903.4
wahoo,1,50,100,130000,122210.7,2043.5
wahoo,1,50,100,200000,187418.5,2010.0
wahoo,1,50,100,270000,210230.4,2098.6
narwhal,3,50,100,60000,53331.0,3168.6
narwhal,3,50,100,130000,115541.4,3263.4
narwhal,3,50,100,200000,173411.4,3479.7
narwhal,3,50,100,270000,184734.5,3636.6
noveldag,3,50,100,60000,55267.3,3272.1
noveldag,3,50,100,130000,120364.4,2884.3
noveldag,3,50,100,200000,182772.9,3271.3
noveldag,3,50,100,270000,193701.5,3592.4
wahoo,3,50,100,60000,57045.2,2130.6
wahoo,3,50,100,130000,124540.7,1946.2
wahoo,3,50,100,200000,189174.2,1916.8
wahoo,3,50,100,270000,215311.7,2106.4
narwhal,0,100,200,60000,30738.9,6845.8
narwhal,0,100,200,130000,89546.7,6720.0
narwhal,0,100,200,200000,98415.6,7748.0
narwhal,0,100,200,270000,90250.5,6744.1
wahoo,0,100,200,60000,52367.1,3617.4
wahoo,0,100,200,130000,114094.8,3678.0
wahoo,0,100,200,200000,135321.5,3671.2
wahoo,0,100,200,270000,135754.7,3669.2
narwhal,1,100,200,60000,39167.7,7005.3
narwhal,1,100,200,130000,92205.9,6412.3
narwhal,1,100,200,200000,91111.8,6871.6
narwhal,1,100,200,270000,92361.8,6853.6
wahoo,1,100,200,60000,52724.0,3647.2
wahoo,1,100,200,130000,116054.2,3540.3
wahoo,1,100,200,200000,126532.2,3555.9
wahoo,1,100,200,270000,125176.4,3658.3
narwhal,3,100,200,60000,42556.8,7329.8
narwhal,3,100,200,130000,49728.1,6488.2
narwhal,3,100,200,200000,54086.1,6250.8
narwhal,3,100,200,270000,58305.3,6025.9
wahoo,3,100,200,60000,53433.3,3808.3
wahoo,3,100,200,130000,85147.3,3391.7
wahoo,3,100,200,200000,89208.4,3551.2
wahoo,3,100,200,270000,82390.7,3914.5
noveldag,0,100,200,60000,57100.1,2709.0
noveldag,0,100,200,130000,127341.3,2770.0
noveldag,0,100,200,270000,139993.6,2710.5
noveldag,1,100,200,60000,57664.5,3034.6
noveldag,1,100,200,130000,126126.0,3065.1
noveldag,1,100,200,200000,134294.7,3294.9
noveldag,1,100,200,270000,134384.6,2737.8
noveldag,3,100,200,60000,57342.3,3223.2
noveldag,3,100,200,130000,104630.1,3827.9
noveldag,3,100,200,200000,104765.0,3711.0
noveldag,3,100,200,270000,108353.6,4242.9
noveldag,0,100,200,200000,138975.1,2862.9
noveldag,0,0,0,60000,59597.822429,434.506622
noveldag,0,0,0,130000,129631.961017,440.347013
noveldag,0,0,0,200000,196366.665952,441.428445
noveldag,0,0,0,270000,231285.430892,408.795451
noveldag,1,0,0,60000,59651.292102,495.346788
noveldag,1,0,0,130000,129774.114104,444.423911
noveldag,1,0,0,200000,197970.444851,545.724013
noveldag,1,0,0,270000,246696.282712,518.582293
noveldag,3,0,0,60000,59558.0345,814.42918
noveldag,3,0,0,130000,129821.253045,842.886978
noveldag,3,0,0,200000,198048.81073,804.981194
noveldag,3,0,0,270000,264655.694553,721.770574
narwhal,0,0,0,270000,135413.996043,981.719731
narwhal,1,0,0,270000,168754.844213,978.926993
narwhal,3,0,0,270000,260528.271309,855.811579
narwhal,0,0,0,340000,47206.202858,2371.1466
noveldag,0,0,0,340000,249456.758441,375.013522
wahoo,0,0,0,340000,129711.012535,942.08429
