faults,nodes,rate,protocol,consensus_tps,consensus_latency_ms,e2e_tps,e2e_latency_ms,execution_time_s
0,10,30000,narwhal,21434.0,5516.0,21434.0,5516.0,49.0
0,10,30000,noveldag,29621.0,3794.0,29621.0,3794.0,49.0
0,10,30000,wahoo,29564.0,1854.0,29564.0,1854.0,49.0
0,10,60000,narwhal,48098.0,5610.0,48098.0,5610.0,49.0
0,10,60000,noveldag,56285.0,4033.0,56285.0,4033.0,49.0
0,10,60000,wahoo,58724.0,1992.0,58724.0,1992.0,49.0
0,10,90000,narwhal,61898.0,5603.0,61898.0,5603.0,49.0
0,10,90000,noveldag,80563.0,4729.0,80563.0,4729.0,49.0
0,10,90000,wahoo,88339.0,2184.0,88339.0,2184.0,49.0
0,10,120000,narwhal,86573.0,5845.0,86573.0,5845.0,49.0
0,10,120000,noveldag,114612.0,4090.0,114612.0,4090.0,49.0
0,10,120000,wahoo,115172.0,2490.0,115172.0,2490.0,49.0
0,10,150000,narwhal,97782.0,6803.0,97782.0,6803.0,49.0
0,10,150000,noveldag,141453.0,4032.0,141453.0,4032.0,49.0
0,10,150000,wahoo,120581.0,5230.0,120581.0,5230.0,49.0
0,10,180000,narwhal,106474.0,6915.0,106474.0,6915.0,49.0
0,10,180000,noveldag,148084.0,4455.0,148084.0,4455.0,49.0
0,10,180000,wahoo,114648.0,7461.0,114648.0,7461.0,49.0
0,10,210000,narwhal,101605.0,8462.0,101605.0,8462.0,49.0
0,10,210000,noveldag,156552.0,4331.0,156552.0,4331.0,49.0
0,10,210000,wahoo,121158.0,7376.0,121158.0,7376.0,49.0
0,10,240000,narwhal,135679.0,5102.0,134249.0,6608.0,49.0
0,10,240000,noveldag,161809.0,3135.0,157616.0,4497.0,49.0
0,10,240000,wahoo,118938.0,1703.0,118395.0,8002.0,49.0
1,10,30000,narwhal,24071.0,6537.0,23011.0,7482.0,40.0
1,10,30000,noveldag,25439.0,3783.0,24265.0,4730.0,47.0
1,10,30000,wahoo,28114.0,2034.0,27243.0,2725.0,49.0
1,10,60000,narwhal,40943.0,5167.0,39671.0,6163.0,60.0
1,10,60000,noveldag,57143.0,3046.0,55504.0,4067.0,48.0
1,10,90000,narwhal,65959.0,4768.0,62717.0,5737.0,48.0
1,10,90000,noveldag,83860.0,3004.0,80625.0,3989.0,48.0
1,10,120000,narwhal,97883.0,4820.0,93928.0,5795.0,46.0
1,10,120000,noveldag,110147.0,3117.0,105616.0,4088.0,47.0
1,10,120000,wahoo,118114.0,2046.0,117243.0,2859.0,49.0
1,10,150000,narwhal,125429.0,5651.0,120443.0,6644.0,48.0
1,10,150000,noveldag,138354.0,3143.0,132783.0,4163.0,47.0
1,10,150000,wahoo,133120.0,2096.0,132225.0,5047.0,49.0
1,10,180000,narwhal,129665.0,5502.0,124783.0,6479.0,48.0
1,10,180000,noveldag,173784.0,3192.0,166329.0,4389.0,47.0
1,10,180000,wahoo,139565.0,2100.0,138588.0,8726.0,49.0
1,10,210000,narwhal,150216.0,5401.0,144310.0,7383.0,48.0
1,10,210000,noveldag,174959.0,3173.0,169252.0,4726.0,59.0
1,10,210000,wahoo,142514.0,2129.0,141455.0,9948.0,49.0
1,10,240000,narwhal,165240.0,5444.0,159669.0,7914.0,45.0
1,10,240000,noveldag,183650.0,3535.0,177372.0,5759.0,34.0
1,10,240000,wahoo,141441.0,2127.0,140617.0,12827.0,49.0
3,10,30000,narwhal,16582.0,6509.0,16582.0,6509.0,49.0
3,10,30000,noveldag,21279.0,4727.0,20987.0,5475.0,49.0
3,10,30000,wahoo,29723.0,3017.0,28988.0,4128.0,49.0
3,10,60000,narwhal,31553.0,8501.0,31553.0,8501.0,49.0
3,10,60000,noveldag,58989.0,4006.0,58989.0,4006.0,49.0
3,10,60000,wahoo,58211.0,3145.0,56866.0,5598.0,49.0
3,10,90000,narwhal,49920.0,7166.0,49920.0,7166.0,49.0
3,10,90000,noveldag,88464.0,4181.0,88464.0,4181.0,49.0
3,10,90000,wahoo,88209.0,3137.0,86403.0,4726.0,49.0
3,10,120000,narwhal,80115.0,9896.0,80115.0,9896.0,49.0
3,10,120000,noveldag,115151.0,6938.0,115151.0,6938.0,49.0
3,10,120000,wahoo,118465.0,3211.0,116264.0,4342.0,49.0
3,10,150000,narwhal,104228.0,7930.0,100276.0,8831.0,49.0
3,10,150000,noveldag,142202.0,3042.0,140473.0,4475.0,49.0
3,10,150000,wahoo,137279.0,3151.0,135374.0,6137.0,49.0
3,10,180000,narwhal,133029.0,5292.0,130834.0,16611.0,49.0
3,10,180000,noveldag,164347.0,3007.0,160624.0,4024.0,49.0
3,10,180000,wahoo,132694.0,3136.0,129470.0,15844.0,49.0
