faults,nodes,rate,protocol,consensus_tps,consensus_latency_ms,e2e_tps,e2e_latency_ms,execution_time_s
0,20,60000,narwhal,46315.0,5963.0,44926.0,6889.0,49.0
0,20,60000,noveldag,48511.0,3333.0,47003.0,4335.0,49.0
0,20,60000,wahoo,56074.0,1891.0,54511.0,2656.0,49.0
0,20,120000,narwhal,82394.0,4994.0,79847.0,5999.0,49.0
0,20,120000,noveldag,103551.0,3307.0,98427.0,4332.0,49.0
0,20,120000,wahoo,113020.0,2078.0,108905.0,2921.0,49.0
0,20,180000,narwhal,119015.0,5064.0,115424.0,6059.0,48.0
0,20,180000,noveldag,172129.0,3011.0,164216.0,4050.0,48.0
0,20,180000,wahoo,170662.0,2330.0,164606.0,3260.0,48.0
0,20,200000,narwhal,153653.0,4772.0,148032.0,5843.0,49.0
0,20,200000,noveldag,175666.0,3740.0,169651.0,4815.0,49.0
0,20,200000,wahoo,181884.0,2393.0,176167.0,3635.0,49.0
0,20,220000,narwhal,137039.0,5169.0,132264.0,6432.0,49.0
0,20,220000,noveldag,198412.0,2978.0,190832.0,4334.0,44.0
0,20,220000,wahoo,187029.0,2412.0,181489.0,3907.0,49.0
0,20,240000,noveldag,199631.0,3585.0,191336.0,4975.0,40.0
0,20,240000,wahoo,190015.0,2482.0,182826.0,3983.0,49.0
0,20,260000,noveldag,211516.0,5363.0,202717.0,6128.0,36.0
0,20,260000,wahoo,180843.0,4579.0,174323.0,5803.0,49.0
