faults,nodes,workers,collocate,rate,tx_size,protocol,run,execution_time_s,consensus_tps,consensus_latency_ms,e2e_tps,e2e_latency_ms,status,source_file
0,20,1,True,60000,512,noveldag,1,49,48511,3333,47003,4335,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-60000-512-noveldag-run1.txt
0,20,1,True,60000,512,narwhal,1,49,46315,5963,44926,6889,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-60000-512-narwhal-run1.txt
0,20,1,True,60000,512,wahoo,1,49,56074,1891,54511,2656,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-60000-512-wahoo-run1.txt
0,20,1,True,120000,512,noveldag,1,49,103551,3307,98427,4332,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-120000-512-noveldag-run1.txt
0,20,1,True,120000,512,narwhal,1,49,82394,4994,79847,5999,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-120000-512-narwhal-run1.txt
0,20,1,True,120000,512,wahoo,1,49,113020,2078,108905,2921,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-120000-512-wahoo-run1.txt
0,20,1,True,180000,512,noveldag,1,48,172129,3011,164216,4050,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-180000-512-noveldag-run1.txt
0,20,1,True,180000,512,narwhal,1,48,119015,5064,115424,6059,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-180000-512-narwhal-run1.txt
0,20,1,True,180000,512,wahoo,1,48,170662,2330,164606,3260,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-180000-512-wahoo-run1.txt
0,20,1,True,200000,512,noveldag,1,49,175666,3740,169651,4815,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-200000-512-noveldag-run1.txt
0,20,1,True,200000,512,narwhal,1,49,153653,4772,148032,5843,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-200000-512-narwhal-run1.txt
0,20,1,True,200000,512,wahoo,1,49,181884,2393,176167,3635,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-200000-512-wahoo-run1.txt
0,20,1,True,220000,512,noveldag,1,44,198412,2978,190832,4334,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-220000-512-noveldag-run1.txt
0,20,1,True,220000,512,narwhal,1,49,137039,5169,132264,6432,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-220000-512-narwhal-run1.txt
0,20,1,True,220000,512,wahoo,1,49,187029,2412,181489,3907,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-220000-512-wahoo-run1.txt
0,20,1,True,240000,512,noveldag,1,40,199631,3585,191336,4975,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-240000-512-noveldag-run1.txt
0,20,1,True,240000,512,wahoo,1,49,190015,2482,182826,3983,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-240000-512-wahoo-run1.txt
0,20,1,True,260000,512,noveldag,1,36,211516,5363,202717,6128,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-260000-512-noveldag-run1.txt
0,20,1,True,260000,512,wahoo,1,49,180843,4579,174323,5803,ok,/Users/apple/Documents/NovelDAG/benchmark/logs/results/bench-0-20-1-True-260000-512-wahoo-run1.txt
