run,protocol,faults,delay_ms,rate,consensus_tps,consensus_latency_ms,end_to_end_tps,end_to_end_latency_ms
1,narwhal,0,0,280000,122117.409009,4507.796352,118120.279734,5094.301688
1,narwhal,1,0,280000,229060.056873,3186.265668,220545.160934,3803.261915
1,narwhal,3,0,280000,259493.042788,3308.923312,252503.025726,3758.163155
1,noveldag,0,0,280000,239919.754729,2531.386528,215651.034752,3098.660624
1,noveldag,1,0,280000,250804.144476,3669.532905,237798.035655,4247.321433
1,noveldag,3,0,280000,275434.454208,2577.678457,264281.502653,3006.034191
1,wahoo,0,0,280000,129938.781099,667.335181,129596.882778,2188.876558
1,wahoo,1,0,280000,155839.720899,760.753712,155573.546867,2633.313639
1,wahoo,3,0,280000,269572.686037,398.999872,269130.611723,615.733687
1,narwhal,3,50,280000,200248.212308,4360.422488,191887.118819,5447.993901
1,noveldag,0,50,280000,71689.751290,1341.956901,47037.378809,2564.859430
1,noveldag,1,50,280000,228584.898577,2652.622733,213998.817353,3867.157568
1,noveldag,3,50,280000,222529.489932,3155.356014,213356.109257,4231.324447
1,wahoo,0,50,280000,220147.070390,2016.660160,211795.625496,3273.402878
1,wahoo,1,50,280000,222050.840170,2021.052893,213429.961708,3119.652593
1,wahoo,3,50,280000,216655.823952,2035.031556,208163.284430,2999.737756
1,narwhal,0,100,280000,131753.286823,6278.944854,122407.864445,8275.318744
1,narwhal,1,100,280000,117627.547976,7310.854378,107079.451190,9447.598468
1,narwhal,3,100,280000,97746.275014,6522.770079,89747.156939,9435.533482
1,noveldag,0,100,280000,161214.691547,3021.301739,145432.422945,4882.832531
1,noveldag,1,100,280000,153258.966133,3057.937853,138345.983475,4991.701423
1,noveldag,3,100,280000,116125.380344,3689.594744,107192.016670,6706.335539
1,wahoo,0,100,280000,152812.898170,3693.022071,138969.495464,5519.315159
1,wahoo,1,100,280000,142250.756688,4146.956946,129375.376522,6039.634647
1,wahoo,3,100,280000,117036.638568,3419.440572,106455.516206,5749.785862
1,narwhal,0,150,280000,66053.512420,9972.334090,59333.620545,13058.336996
1,narwhal,1,150,280000,49318.951266,9909.593071,42828.273210,13136.413007
1,narwhal,3,150,280000,24968.618323,8887.954054,21090.482101,12586.020098
1,noveldag,0,150,280000,102964.844386,4107.196686,90043.749307,6686.259752
1,noveldag,1,150,280000,88365.488855,4109.398292,77310.376839,7200.245711
1,noveldag,3,150,280000,51114.923410,3918.772227,40287.001913,6829.092492
1,wahoo,0,150,280000,94374.120916,5401.034487,80835.767564,8596.731802
1,wahoo,1,150,280000,84871.989475,5233.944506,70714.019835,9106.275916
1,wahoo,3,150,280000,62192.831727,5211.710888,53328.620881,9503.949780
1,narwhal,0,200,280000,23622.467603,13186.965727,18078.928893,17567.911411
1,narwhal,1,200,280000,21013.281262,13055.507849,15842.406296,17955.365109
1,narwhal,3,200,280000,6101.768311,11125.719463,4232.327360,16386.021183
1,noveldag,0,200,280000,67963.237745,5426.408115,53418.112022,10100.803412
1,noveldag,1,200,280000,63824.366692,5483.085576,52300.801118,9160.154456
1,noveldag,3,200,280000,16706.132198,4575.127905,10639.147418,8895.281731
1,wahoo,0,200,280000,57268.292564,7055.059275,45795.979934,11654.355543
1,wahoo,1,200,280000,38632.651925,8115.277529,29081.833565,12967.296109
1,wahoo,3,200,280000,31202.117726,7691.247692,23510.318703,12662.008228
1,narwhal,0,50,280000,51007.830276,10581.632361,46347.613047,11809.666668
1,narwhal,1,50,280000,147290.474353,5994.515523,137878.767399,7189.601977
2,narwhal,0,0,280000,136185.223467,6947.867557,122611.556981,8846.864852
3,narwhal,0,0,280000,133418.013612,7160.926275,120080.027483,9044.658744
2,narwhal,1,0,280000,121836.340152,6414.534416,112240.498939,8481.887863
3,narwhal,1,0,280000,121898.034761,7348.498761,111943.904880,9475.605063
2,narwhal,3,0,280000,92202.181837,6728.202453,84017.938915,9708.581005
3,narwhal,3,0,280000,94210.140193,7535.566344,86517.819294,10868.079672
2,noveldag,0,0,280000,163835.153672,3105.695805,148006.391722,4955.228422
3,noveldag,0,0,280000,162860.753010,3051.558789,147718.544831,4877.572956
2,noveldag,1,0,280000,153000.000590,3071.199353,138173.898645,5030.733772
3,noveldag,1,0,280000,153616.278073,3784.635831,139549.392321,5678.647674
2,noveldag,3,0,280000,123143.546467,4650.576017,111232.541344,6917.509873
3,noveldag,3,0,280000,120260.426199,4351.671886,106617.587545,6501.414454
2,wahoo,0,0,280000,151064.435064,3718.463531,137510.357361,5627.060888
3,wahoo,0,0,280000,146262.194469,3687.530053,133606.293765,5475.998060
2,wahoo,1,0,280000,142423.627428,3840.928574,129573.888457,5801.636921
3,wahoo,1,0,280000,141922.799204,4715.598395,129196.850521,6600.795491
2,wahoo,3,0,280000,114406.941480,4320.864000,104099.781664,6953.379149
3,wahoo,3,0,280000,111227.045588,4166.728444,100283.345743,6388.303138
2,narwhal,0,50,280000,71143.721978,9481.546577,66273.679271,10733.418641
3,narwhal,0,50,280000,134738.514473,4453.572853,121438.721680,5694.737664
2,narwhal,1,50,280000,186638.092535,4884.320089,179215.858854,6137.457608
3,narwhal,1,50,280000,178728.039058,4800.616571,171136.546329,6068.005294
2,narwhal,3,50,280000,203011.457455,4663.192359,194918.443279,5792.182437
3,narwhal,3,50,280000,195555.813358,4397.398792,187298.315175,5531.862994
2,noveldag,0,50,280000,198772.285780,3082.339644,179813.210327,4370.164872
3,noveldag,0,50,280000,65568.425118,1341.432825,43152.516209,2603.187574
2,noveldag,1,50,280000,162869.095642,3427.996543,139193.531454,4721.624811
3,noveldag,1,50,280000,214333.911797,2697.209200,199924.911332,3901.242631
2,noveldag,3,50,280000,212657.426682,3857.863704,202642.685143,4967.340991
3,noveldag,3,50,280000,214548.557251,4101.836586,205751.113314,5214.414266
2,wahoo,0,50,280000,208866.945982,1920.831651,201735.257369,4196.743072
3,wahoo,0,50,280000,196378.744216,1972.892051,188767.271554,3705.503724
2,wahoo,1,50,280000,224169.080205,2009.113550,215568.886501,3072.546096
3,wahoo,1,50,280000,205054.120138,1959.961431,197503.039765,3394.219678
2,wahoo,3,50,280000,214591.638616,2312.224376,205979.898095,3284.229322
3,wahoo,3,50,280000,212567.151042,2185.786775,204228.523758,3173.909019
2,narwhal,0,100,280000,129329.098750,6279.060932,120318.247689,8436.285843
3,narwhal,0,100,280000,129532.910444,6659.724524,118955.606130,8759.795871
2,narwhal,1,100,280000,121842.077901,6859.606926,111922.468139,8920.063482
3,narwhal,1,100,280000,122432.931157,6892.198959,112403.545369,9049.100612
2,narwhal,3,100,280000,98499.459800,6021.111183,90417.248519,8883.877531
3,narwhal,3,100,280000,95231.884966,6735.987180,87458.210663,9646.030223
2,noveldag,0,100,280000,162763.794198,3041.857387,147053.461955,4799.279326
3,noveldag,0,100,280000,164560.369997,3059.808465,148639.841107,4857.794346
2,noveldag,1,100,280000,152651.609169,3007.648853,137933.489484,4863.922089
3,noveldag,1,100,280000,152318.325066,3864.096870,138619.040062,5720.862789
2,noveldag,3,100,280000,123722.715455,3740.486664,111716.676134,5719.728820
3,noveldag,3,100,280000,117211.159864,5185.599865,106198.810486,8088.387162
2,wahoo,0,100,280000,150713.001416,3679.119044,137227.510325,5533.324710
3,wahoo,0,100,280000,151992.405584,3677.288877,138319.179568,5554.044619
2,wahoo,1,100,280000,142433.899512,3561.439099,129671.343311,5407.215266
3,wahoo,1,100,280000,142290.036997,3584.218870,129691.061250,5544.666352
2,wahoo,3,100,280000,113941.334412,3907.369323,102829.394569,6200.349097
3,wahoo,3,100,280000,109908.811908,6650.887249,99131.862457,9375.085040
2,narwhal,0,150,280000,64610.532687,9856.813668,58142.134409,12952.565886
3,narwhal,0,150,280000,66652.616045,10876.812942,59048.853438,13965.434281
2,narwhal,1,150,280000,59452.102136,10079.033162,52767.389879,13234.628566
3,narwhal,1,150,280000,57579.451938,10162.070368,51108.249466,13657.368847
2,narwhal,3,150,280000,48014.669346,9949.863511,42635.239261,13321.882446
3,narwhal,3,150,280000,43762.559869,10091.784587,38838.593279,14137.914693
2,noveldag,0,150,280000,102793.098394,4109.934998,89982.830043,6597.410984
3,noveldag,0,150,280000,101464.567294,4117.342148,88850.146816,6726.523105
2,noveldag,1,150,280000,88346.333492,4137.399308,77353.480875,7078.773310
3,noveldag,1,150,280000,88963.439245,4131.526499,78350.700431,7113.228979
2,noveldag,3,150,280000,67707.470640,5995.028149,59301.586279,9047.579636
3,noveldag,3,150,280000,69013.766952,4596.755496,60439.418284,7360.098778
2,wahoo,0,150,280000,94386.263953,5396.115971,80953.121735,8829.436583
3,wahoo,0,150,280000,92919.278499,5392.464649,79687.789248,8791.948307
2,wahoo,1,150,280000,76467.918966,5197.774958,63799.261633,8778.627399
3,wahoo,1,150,280000,76212.597872,5229.912444,63647.176496,8836.068178
2,wahoo,3,150,280000,61993.767729,5674.054798,53166.461500,10137.291510
3,wahoo,3,150,280000,56266.156909,5876.068291,46973.068614,10169.692457
2,narwhal,0,200,280000,24173.668104,13337.056013,18506.162099,17543.614153
3,narwhal,0,200,280000,21774.050216,11784.439389,16397.412399,16756.058412
2,narwhal,1,200,280000,145.642069,8814.000130,86.672061,14823.000193
