protocol,faults,delay_ms,rate,run,tps,latency_ms
narwhal,0,0,60000,1,54686.952413692416,541.8951281079922
narwhal,0,0,60000,2,55746.77312168917,501.43593104284435
narwhal,0,0,60000,3,52850.75515919202,645.6482492951839
narwhal,0,0,60000,mean,54428.2,563.0
narwhal,0,0,130000,1,118077.9715195838,563.1888942928995
narwhal,0,0,130000,2,114108.02392539392,534.0944562460795
narwhal,0,0,130000,3,114059.44532538859,636.3080904526093
narwhal,0,0,130000,mean,115415.1,577.9
narwhal,0,0,200000,1,166298.91886275838,627.4762237392276
narwhal,0,0,200000,2,179574.5823605205,526.7057109593695
narwhal,0,0,200000,3,179884.45424863877,567.3469897154923
narwhal,0,0,200000,mean,175252.7,573.8
wahoo,0,0,60000,1,43962.970507607235,247.3545151543591
wahoo,0,0,60000,2,42096.84389987469,239.09688875886945
wahoo,0,0,60000,3,42998.888255144186,244.67985662399914
wahoo,0,0,60000,mean,43019.6,243.7
wahoo,0,0,130000,1,90612.10352421297,374.50328188860703
wahoo,0,0,130000,2,91834.92651606238,468.8791477232441
wahoo,0,0,130000,3,92769.02825188011,462.5915027911367
wahoo,0,0,130000,mean,91738.7,435.3
wahoo,0,0,200000,1,136931.83659194355,766.8841079903317
wahoo,0,0,200000,2,136385.09736882432,718.3085513932265
wahoo,0,0,200000,3,129132.96952969756,818.8146780933313
wahoo,0,0,200000,mean,134150.0,768.0
wahoo,0,0,270000,1,134312.84082009547,851.5739957669747
wahoo,0,0,270000,2,134480.05766407808,837.993179638378
wahoo,0,0,270000,3,145704.81897768326,808.8981926943479
wahoo,0,0,270000,mean,138165.9,832.8
narwhal,1,0,60000,1,54263.36837595557,586.6779553688178
narwhal,1,0,60000,2,52322.18554214045,724.4510361030276
narwhal,1,0,60000,3,55572.13301040512,582.6678603887558
narwhal,1,0,60000,mean,54052.6,631.3
narwhal,1,0,130000,1,115467.75221310358,689.8322981824443
narwhal,1,0,130000,2,115602.0569770256,624.0677713636445
narwhal,1,0,130000,3,115343.09593498362,604.2023809300517
narwhal,1,0,130000,mean,115471.0,639.4
narwhal,1,0,200000,1,174067.07090274733,631.8925431402249
narwhal,1,0,200000,2,122486.84278483392,884.5130369483662
narwhal,1,0,200000,3,173499.21682688422,643.3476194405007
narwhal,1,0,200000,mean,156684.4,719.9
wahoo,1,0,60000,1,46620.1601732875,269.11547628499693
wahoo,1,0,60000,2,46799.107826292,236.10167933210138
wahoo,1,0,60000,3,46325.300541474244,227.85941455057
wahoo,1,0,60000,mean,46581.5,244.4
wahoo,1,0,130000,1,101718.61589078199,377.42877902663895
wahoo,1,0,130000,2,101197.81234339952,389.0725623158848
wahoo,1,0,130000,3,101274.9355733904,377.10073722895316
wahoo,1,0,130000,mean,101397.1,381.2
wahoo,1,0,200000,1,149375.20172747987,679.476194016747
wahoo,1,0,200000,2,150235.53576705328,545.7762498445006
wahoo,1,0,200000,3,151735.43664710954,553.4338850699489
wahoo,1,0,200000,mean,150448.7,592.9
wahoo,1,0,270000,1,187190.81899355192,505.8025772348105
wahoo,1,0,270000,2,185366.88678736473,552.82359389395
wahoo,1,0,270000,3,186749.898933502,572.8038897737861
wahoo,1,0,270000,mean,186435.9,543.8
narwhal,3,0,60000,1,58695.351595928565,647.2077714027586
narwhal,3,0,60000,2,58562.64438371947,719.9132524405148
narwhal,3,0,60000,3,58650.71221880286,589.5033714336317
narwhal,3,0,60000,mean,58636.2,652.2
narwhal,3,0,130000,1,127249.70303212687,650.7574734294714
narwhal,3,0,130000,2,126704.37045731256,669.5586434558932
narwhal,3,0,130000,3,127039.1580766459,752.8749503870466
narwhal,3,0,130000,mean,126997.7,691.1
narwhal,3,0,200000,1,194641.52950496337,819.8965117033677
narwhal,3,0,200000,2,194847.52100953885,770.9594995764237
narwhal,3,0,200000,3,194877.0390952774,717.0483613316017
narwhal,3,0,200000,mean,194788.7,769.3
wahoo,3,0,60000,1,59802.170188885335,162.64042719988757
wahoo,3,0,60000,2,59659.61291018825,157.96452445952414
wahoo,3,0,60000,3,59974.866199683434,167.48478069226928
wahoo,3,0,60000,mean,59812.2,162.7
wahoo,3,0,130000,1,129014.39072361079,220.1669194046091
wahoo,3,0,130000,2,129861.0051439451,183.35009865533738
wahoo,3,0,130000,3,129418.25216132785,205.0741148251359
wahoo,3,0,130000,mean,129431.2,202.9
wahoo,3,0,200000,1,199059.0315808035,275.21982984538073
wahoo,3,0,200000,2,199058.99211322443,291.6485418839028
wahoo,3,0,200000,3,197911.26087406767,256.2355777673554
wahoo,3,0,200000,mean,198676.4,274.4
wahoo,3,0,270000,1,245274.4983975466,411.8658182058228
wahoo,3,0,270000,2,243847.0840859567,395.3618191231817
wahoo,3,0,270000,3,250906.73504265136,376.34124070662676
wahoo,3,0,270000,mean,246676.1,394.5
narwhal,0,50,60000,1,52169.11793584792,3795.819970315376
narwhal,0,50,60000,2,52726.80147910462,3574.3890419798663
narwhal,0,50,60000,3,52315.66313338804,4550.8671861381645
narwhal,0,50,60000,mean,52403.9,3973.7
narwhal,0,50,130000,1,114521.54364753817,3373.8513138236067
narwhal,0,50,130000,2,115172.54072457744,3302.1787275402444
narwhal,0,50,130000,3,114606.51018140108,3508.3205981667656
narwhal,0,50,130000,mean,114766.9,3394.8
narwhal,0,50,200000,1,67848.66657225591,3963.6697990949765
narwhal,0,50,200000,2,7948.804356622958,8911.31521826205
narwhal,0,50,200000,3,25015.44032842828,10200.917536085779
narwhal,0,50,200000,mean,33604.3,7692.0
narwhal,0,50,270000,1,26373,15321.234234
narwhal,0,50,270000,2,20464.762375124563,16225.982367541988
narwhal,0,50,270000,3,26298.88752040139,11273.978279984514
narwhal,0,50,270000,mean,23381.8,13750.0
noveldag,0,50,60000,1,54980.4201781332,2542.850363911606
noveldag,0,50,60000,2,54057.20088582986,2530.330666057118
noveldag,0,50,60000,3,55284.41789602283,2560.7060303445905
noveldag,0,50,60000,mean,54774.0,2544.6
noveldag,0,50,130000,1,119379.07981547771,2541.840361448932
noveldag,0,50,130000,2,119277.74381695747,2560.2889758601073
noveldag,0,50,130000,3,119814.73208896203,2551.1908990635848
noveldag,0,50,130000,mean,119490.5,2551.1
noveldag,0,50,200000,1,59.69230769230769,1624.000072479248
noveldag,0,50,200000,2,144631.863813034,3023.8339199629477
noveldag,0,50,200000,3,147243.41608787942,2588.9769010818923
noveldag,0,50,200000,mean,97311.7,2412.3
noveldag,0,50,270000,1,41639.63379040317,3268.602961870893
noveldag,0,50,270000,2,39432.0838688747564,1633.000135421753
noveldag,0,50,270000,3,43792.39987260010112,1626.000165939331
noveldag,0,50,270000,mean,41743.4,2175.9
wahoo,0,50,60000,1,56402.81354898887,1856.4343713149874
wahoo,0,50,60000,2,56340.601842000375,1863.1625501558967
wahoo,0,50,60000,3,55500.05830652942,1858.4133110219432
wahoo,0,50,60000,mean,56081.2,1859.3
wahoo,0,50,130000,1,122379.04685466434,1932.180368937736
wahoo,0,50,130000,2,122605.41162479603,1879.62157819999
wahoo,0,50,130000,3,121704.87618332318,1900.5901745108306
wahoo,0,50,130000,mean,122229.8,1904.1
wahoo,0,50,200000,1,180677.9277150914,1986.9745547954853
wahoo,0,50,200000,2,185814.0017809502,1929.591303913298
wahoo,0,50,200000,3,187738.66436410166,1993.3075151302278
wahoo,0,50,200000,mean,184743.5,1970.0
wahoo,0,50,270000,1,199386.06680076828,1999.1753345294346
wahoo,0,50,270000,2,214836.76411198088,2012.480770995733
wahoo,0,50,270000,3,209357.93939320286,1966.791303771447
wahoo,0,50,270000,mean,207860.3,1992.8
narwhal,1,50,60000,1,52850.29869160606,4212.526876430221
narwhal,1,50,60000,2,51431.10039046318,3950.7687379528024
narwhal,1,50,60000,3,52951.724573556014,4186.8458642920905
narwhal,1,50,60000,mean,52411.0,4116.7
narwhal,1,50,130000,1,110619.37413674203,3603.0963384290826
narwhal,1,50,130000,2,114260.3832353804,3494.6469886700916
narwhal,1,50,130000,3,115733.25247414663,3502.2984327994686
narwhal,1,50,130000,mean,113537.7,3533.3
narwhal,1,50,200000,1,167515.27856111576,3449.6092191548864
narwhal,1,50,200000,2,169986.4414367678,4037.89747662052
narwhal,1,50,200000,3,172159.7617206301,3531.42891619679
narwhal,1,50,200000,mean,169887.2,3673.0
narwhal,1,50,270000,1,125396.29599605278,4016.21956337582
narwhal,1,50,270000,2,36333.6243131682,7603.28321562612
narwhal,1,50,270000,3,152336.329059493,3364.5163232308846
narwhal,1,50,270000,mean,104688.7,4994.7
noveldag,1,50,60000,1,54971.21936169327,2693.780438796334
noveldag,1,50,60000,2,55383.67356911769,2526.211974431301
noveldag,1,50,60000,3,55431.255806460525,2834.812724122814
noveldag,1,50,60000,mean,55262.0,2684.9
noveldag,1,50,130000,1,120209.31860856,2856.8810887164896
noveldag,1,50,130000,2,108625.66964945235,2582.307448790441
noveldag,1,50,130000,3,119768.85625642513,2540.406442520356
noveldag,1,50,130000,mean,116201.3,2659.9
noveldag,1,50,200000,1,179244.3543545355,2428.8245945
noveldag,1,50,200000,2,169717.46442710445,2624.0870114063273
noveldag,1,50,200000,3,181203.05067577475,2603.290697037219
noveldag,1,50,200000,mean,175460.3,2613.7
noveldag,1,50,270000,1,174642.2637011676,2605.38678826051
noveldag,1,50,270000,2,167745.03856838585,2601.776816032745
noveldag,1,50,270000,3,154347.65751765712,2555.159425823859
noveldag,1,50,270000,mean,165578.3,2587.4
wahoo,1,50,60000,1,56698.99574767334,1922.5752648740713
wahoo,1,50,60000,2,56444.48938958662,1981.7629539634127
wahoo,1,50,60000,3,56362.524362337615,1805.7369479521074
wahoo,1,50,60000,mean,56502.0,1903.4
wahoo,1,50,130000,1,122420.87663927847,2105.8429575639257
wahoo,1,50,130000,2,122928.9574585642,2125.199921760144
wahoo,1,50,130000,3,121282.18045552386,1899.3166222435077
wahoo,1,50,130000,mean,122210.7,2043.5
wahoo,1,50,200000,1,185979.82141401476,2021.049785753644
wahoo,1,50,200000,2,190170.33002034287,2122.094444480913
wahoo,1,50,200000,3,186105.22479460677,1886.7502163129259
wahoo,1,50,200000,mean,187418.5,2010.0
wahoo,1,50,270000,1,219256.30249626003,2115.8967087171172
wahoo,1,50,270000,2,198812.84586247368,2078.469504769184
wahoo,1,50,270000,3,212622.0682347504,2101.569633240506
wahoo,1,50,270000,mean,210230.4,2098.6
narwhal,3,50,60000,1,53489.05519366144,3322.522185742855
narwhal,3,50,60000,2,53192.2151421507,3009.2755919652627
narwhal,3,50,60000,3,53311.78512902401,3174.115265343862
narwhal,3,50,60000,mean,53331.0,3168.6
narwhal,3,50,130000,1,114617.28078816672,3216.3336747365797
narwhal,3,50,130000,2,116037.18717023746,3011.393019202706
narwhal,3,50,130000,3,115969.66656176443,3562.327117422198
narwhal,3,50,130000,mean,115541.4,3263.4
narwhal,3,50,200000,1,170545.2148403962,3595.8822961879114
narwhal,3,50,200000,2,176475.9046942749,3302.6614109033144
narwhal,3,50,200000,3,173213.2201228763,3540.4613171202786
narwhal,3,50,200000,mean,173411.4,3479.7
narwhal,3,50,270000,1,187969.04186344813,3275.4942327918866
narwhal,3,50,270000,2,180247.33872984268,3283.7751017315427
narwhal,3,50,270000,3,185987.24598719398,4350.421451571528
narwhal,3,50,270000,mean,184734.5,3636.6
noveldag,3,50,60000,1,55264.068792275524,2845.534560473069
